Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2000-01-01 0:00:00,18,28.4,22.3,90,0,6,5,180,4,N
2000-01-02 0:00:00,19,28.2,22.6,88,0,2.6,6,360,3,N
2000-01-03 0:00:00,18,28.4,22,87,0,7.9,4,90,3,E
2000-01-04 0:00:00,18,28.4,22.6,87,0,6.9,5,90,3,E
2000-01-05 0:00:00,19,28.7,23.2,85,30,8,4,90,3,E
2000-01-06 0:00:00,19,27.4,22.9,89,14,1.4,7,360,3,N
2000-01-07 0:00:00,19,26.2,21.8,92,3,3.8,4,360,4,N
2000-01-08 0:00:00,21,26.1,21.9,94,22,2.4,5,360,4,N
2000-01-09 0:00:00,20,27.7,21.5,93,38,1,6,180,9,S
2000-01-10 0:00:00,20,27.1,21.9,92,103,0.9,5,360,4,N
2000-01-11 0:00:00,20,25.7,22.5,90,0,1.7,9,360,7,N
2000-01-12 0:00:00,19,26.4,21.5,92,7,2.5,9,270,8,W
2000-01-13 0:00:00,19,27.5,22.2,92,8888,3.9,5,360,4,N
2000-01-14 0:00:00,19,26.6,22.2,88,7,3.1,11,360,7,N
2000-01-15 0:00:00,21,27.3,21.6,92,0,1.2,6,360,5,N
2000-01-16 0:00:00,19,26.2,21.6,95,3,1.4,5,360,2,N
2000-01-17 0:00:00,19,27.4,21.9,91,7,4.6,8,360,5,N
2000-01-18 0:00:00,20,27.2,22.4,91,4,4.2,7,360,6,N
2000-01-19 0:00:00,20,25.9,22.5,87,11,5,15,360,14,N
2000-01-20 0:00:00,20,24.6,21.2,88,9,0.8,9,360,7,N
2000-01-21 0:00:00,21,27.6,22.8,93,5,2.2,9,360,3,N
2000-01-22 0:00:00,21,26.2,22.2,90,14,0,9,360,8,N
2000-01-23 0:00:00,20,27.1,23.3,86,13,7.5,9,360,9,N
2000-01-24 0:00:00,21,26.5,22.6,92,4,4.2,9,360,7,N
2000-01-25 0:00:00,21,25,21.8,96,2,1.6,8,360,7,N
2000-01-26 0:00:00,20,23.6,21.2,95,14,0,4,360,3,N
2000-01-27 0:00:00,18,27.4,23.2,84,7,4.2,5,360,4,N
2000-01-28 0:00:00,19,27.8,22.1,90,0,5.3,9,360,7,N
2000-01-29 0:00:00,20,26.6,22.6,91,2,2.9,10,360,10,N
2000-01-30 0:00:00,21,26.9,21.5,90,6,2.8,7,270,6,E
2000-01-31 0:00:00,21,26.6,22.6,91,54,2.1,8,360,8,N
2000-02-01 0:00:00,20,23.6,21.4,92,4,0.3,4,270,2,W
2000-02-02 0:00:00,20,26.7,21.7,95,2,0.3,4,180,1,S
2000-02-03 0:00:00,19,28.7,21.8,91,37,4.4,5,270,2,W
2000-02-04 0:00:00,19,27.5,22,92,0,4.7,9,360,2,N
2000-02-05 0:00:00,20,27.1,22.3,94,0,2.2,5,360,2,N
2000-02-06 0:00:00,20,27.2,21.6,96,2,3.3,9,360,4,N
2000-02-07 0:00:00,20,23.8,21.9,86,58,0,6,270,3,W
2000-02-08 0:00:00,20,26.7,22.1,87,6,0.7,8,180,3,S
2000-02-09 0:00:00,19,27.7,23.5,85,0,3.4,7,270,3,W
2000-02-10 0:00:00,20,28.7,23.5,80,6,6.6,6,360,3,N
2000-02-11 0:00:00,20,28,21,95,0,4.3,5,180,1,S
2000-02-12 0:00:00,20,27.4,22.7,90,47,3,6,180,2,N
2000-02-13 0:00:00,20,28.3,23.3,88,8888,6.6,6,360,2,N
2000-02-14 0:00:00,19,27.1,21.7,90,8,4.4,8,360,2,N
2000-02-15 0:00:00,18,27.9,22,90,8888,3.4,5,360,0,N
2000-02-16 0:00:00,19,25.7,21.3,94,8888,3.4,6,360,2,N
2000-02-17 0:00:00,20,27,22.4,87,2,2.9,12,360,3,N
2000-02-18 0:00:00,20,25.8,21.9,95,0,1.9,5,360,2,N
2000-02-19 0:00:00,19,27.7,22.2,87,22,5.7,6,90,2,E
2000-02-20 0:00:00,18,28.3,23.1,88,5,7,6,180,1,S
2000-02-21 0:00:00,20,26.8,22,90,8888,1.3,5,360,1,N
2000-02-22 0:00:00,20,26.7,22.2,90,19,3.4,7,270,3,W
2000-02-23 0:00:00,20,26.6,22.6,90,22,4.5,7,360,1,N
2000-02-24 0:00:00,20,26.3,22.3,90,8888,1.9,7,360,3,N
2000-02-25 0:00:00,20,26.7,22.3,87,7,4.2,9,360,3,N
